66568.5,3700
66558.5,3000
66558,3700
66554.5,3700
66551,3700
66548,24646
66547.5,3700
66544,3700
66540.5,3700
66537.5,6000
66537,3700
66533.5,3700
66530,3700
66527.5,58
66527,43227
66526.5,3700
66523,3700
66519.5,3700
66516.5,6010
66516,29676
66513.5,10
66513,3700
66509.5,3700
66506.5,63084
66506,13700
66503,10
66502.5,3700
66500,3009
66499,3700
66496,6000
66495.5,3700
66493,60720
66492,3700
66489.5,91932
66488.5,3700
66485,3700
66482,103018
66481.5,3700
66478,6000
66477.5,3700
66474,3700
66471,9
66470.5,3700
66467.5,9
66467,3700
66464,58
66463.5,3700
66459,3700
66454,9
66453.5,185481
66453,3700
66449.5,3700
66447,13315
66446,3700
66435.5,150000
66435,470400
66433,91932
66432,3700
66421,91932
66417.5,3700
66416,120000
66411.5,379
66411,3700
66390.5,259663
66390,3700
66331.5,300702
66330.5,3700
66296.5,19985
66295.5,3700
66291.5,300702
66288.5,3700
66156,38
66155.5,35
66154.5,38
66152,58
66149.5,300702
65952.5,185244
65789.5,99
65789,99
65788.5,99
65785.5,57
65777,15000
65389,128007
65388.5,185244
65051.5,2000
64777,15000
64303.5,185244
63777,15000
63536,60720
63429,60720
63411.5,2000
62777,15000
62694,60720
62480.5,1000
61852,60720
61301,2000
61000,20
60879,40
60755,1
60590,500
60500,52090
60355,1
60240.5,44
60055,2
60050,500
60033,71
60000,1020
59946,2000
59532,2000
59500,91
59055,10
59000,70
58888,600
58800,6000
58568,82
58510,50
58218,82
58055,10
58000,100
57950,2000
57941,2000
57868,82
57780,1000
57517,82
57501,60
57500,10000
57364,20
57349,15000
57300,100000
57167,82
57098,5
57055,10
57001,10000
57000,5000
56959,131
56888,600
56817,82
56780,1000
56390,2000
56106,130
56055,10
56000,500
55780,1000
55555,5000
55055,20
54787,600
54780,1000
54500,3000
54055,20
54000,5000
53777,15000
53541.5,330
53500,8000
53088,20000
53055,20
53021.5,2000
53010,600
52777,15000
52725,330
52590,5
52391,70
52300,10000
52251,20000
52200,5000
51777,15000
51555,350000
51540,2000
51500,440
51250,100
51140,25
51100,2000
51000,100
50800,10
50777,15000
50750,50
50740,25
50700,10
50646.5,33
50600,15
50500,65
50400,5
50340,75
50300,15
50295,100
50250,50
50200,15
50198,50
50169.5,33
50160,350
50100,15
50051.5,250
50050,200000
50000,175
49956.5,50
49940,75
49808,20
49760,50
49750,50
49540,75
49500,75
49412,2000
49408,20
49333,5000
49308,200
49250,50
49198,50
49140,25
49002,25
49000,150
48888,1000
48567,1000
48198,50
48060,25
48040,10
48000,100
47576,50
47565,8000
47502.5,5
47481,2000
47469.5,5
47372,20
47300,2025
47241,5
47198,50
47123,80
47114,50
47083,10
47072,70
47055,5000
47031,300
47018.5,5
47005,50
47000,100
46978,100
46941,5
46923,80
46908.5,5
46863.5,5
46850,4500
46818.5,50
46772,20
46667,10
46666,5000
46654,50
46552.5,20
46524,50
46372,20
46252.5,50
46198,500
46142,100
46123,80
46072,20
46042,100
46000,100
45942,100
45842,100
45742,100
45642,100
45500,1100
45042,100
45000,250
44777,10000
44444,2000
43900,2000
43298,500
43250,50
42900,600
42856,80
42745,10000
42731,80
42606,80
42557,7
42500,50
42481,80
42356,80
42171,5
42154,10
42073,40
42054,10
41800,50
41500,4040
41432.5,4000
41306,4000
41083.5,4000
41024.5,400
40672.5,9000
40656.5,9000
40429,100
40350,2000
40333,5000
40000,50
39712.5,4000
39686,100
39393,2349
39314,120
39024.5,400
39001,50
38900,25000
38800,120
38650,50
38633,15000
38571,50
38500,3020
38400,1500
38200,50
38001,40
38000,500
37850,260
37760,30
37000,20000
36800,25
36666,30
36000,505
35814,30
35700,2000
35500,70000
35010,100
35000,20300
34900,100
34887.5,30
34400,2000
34313,5000
34300,100
34105,300
34050,50
34000,25
33909.5,40
33900,3571
33754,40
33557.5,40
33555,5000
33550,50
33392,40
33225,40
33050,50
33046.5,250
32800,100
32782,26000
32532.5,40
32500,140
32300,2500
31899,20000
31700,200
31601,1
31427,16000
31310,13000
30574,200
30100,100
28200,25
28064,12000
27271,28655
26760,25
26310,100
26000,500
25560.5,250
25000,600
24555,50
23684,5
23000,5
22655,5
22642.5,100
22397,5
22300,100
22000,7
21625,5
21258,150
20250,100
19935.5,50
19535.5,50
19294,200
18872,250
18717.5,194500
17562,250
17420,50
17000,32
16920,25
16200,50
16100,1
15716.5,50
15700,100
15588,200
15500,1
15238,2000
15000,11
14886,151200
14750.5,149300
14680,150000
14639.5,21
14500,1
14000,1
13952,25
13744.5,162000
13640.5,21
13603,161800
12641.5,21
12600,25
12500,1
12345,336750
11739,25
11642.5,1
10243,1709900
10000,1
9539.5,50
7500,1
7005.5,346
6200,25
6000,20
5000,1
2500,1
1000,8
