66581.5,7400
66584.5,3000
66585,7400
66592,3700
66595.5,3700
66599,3700
66602.5,3700
66603,24396
66603.5,10000
66609,6000
66609.5,3700
66613,3700
66616.5,3700
66620,3700
66624.5,6000
66625,45596
66625.5,2115
66627,3700
66630.5,3700
66634,3700
66637.5,3700
66640.5,10
66641,3700
66643.5,3
66644,64614
66644.5,3700
66651,6000
66651.5,3700
66655,33376
66660,10
66661.5,10
66662,3700
66665,6000
66665.5,3700
66669,3700
66672,109835
66672.5,3700
66676,3700
66679.5,3700
66683,3700
66686,10
66686.5,3700
66690,3700
66693.5,64420
66696.5,184502
66697,3700
66700.5,3700
66704,3700
66706.5,10
66707,10
66707.5,3700
66710.5,3
66711,3700
66711.5,91932
66716.5,3700
66720,3700
66724,3700
66730,95632
66735.5,465600
66736.5,3700
66738.5,120000
66740,3700
66746,379
66746.5,260955
66747,3700
66750.5,3700
66755.5,3700
66759,3700
66765.5,3700
66769,3700
66770.5,66664
66773,3700
66776.5,3700
66782,3700
66788,3700
66791.5,3700
66798,3700
66798.5,91932
66802,3700
66805.5,3700
66810.5,3700
66814,3700
66816.5,150000
66819,3700
66823.5,300702
66825,3700
66826.5,332884
66831.5,3700
66884.5,10
66885,2168
66927,15
66928.5,15
66931.5,3
66947,300702
67039,300702
67259.5,101
67260,185244
67570,101
67570.5,101
67571.5,3
67605.5,185244
67743,178
67801,143
67803,188
67805,146
67889,255
67894.5,2000
67903,201
67962,254
68488.5,185244
68572.5,2000
68600,3000
68708,32
69000,3000
69087,32
69115,2000
69420,317353
69466,32
69803,60720
69845,32
69883.5,2000
70000,310
70100,1000
70125,300
70224,32
70477,60720
70536,130
70603,32
70982,32
71000,10
71318.5,60720
71361,32
71739,32
72000,10
72118,32
72160.5,60720
72497,32
72876,32
73255,32
73400,130
73634,32
73700,1500
74013,32
74392,32
74720,64000
74771,32
75150,32
75220,64000
75720,64000
76000,50
76420,64000
76920,64000
77320,64000
77720,64000
78220,64000
79000,142050
80888,150
84500,25
87899,250
88000,100
88420,256000
88500,25
98000,100
107434,150
180000,100
182000,11000
240000,200
252046,25
371101,2000
374418,1000
427150,300
470000,200
