TIME,TRADE_ID,PRICE,SIZE,SIDE,TYPE,UID
2024-02-25T09:29:37.597Z,45,51590,6,buy,fill,d3b4acd2-93bc-46dd-a38e-be632be099e7
2024-02-25T09:29:37.612Z,44,51590,3,buy,fill,a8a0a7a2-6c45-4ac3-ac68-d9a61b8185d1
2024-02-25T09:29:37.670Z,43,51590,14,buy,fill,7aed3380-096c-4108-8751-259b10e894dd
2024-02-25T09:29:39.650Z,42,51590,1664,buy,fill,c498fdcc-2369-44a9-9f0c-1be7d3063308
2024-02-25T09:29:39.650Z,41,51590,22945,buy,fill,0926be03-6c22-43e6-9aaa-8fbddf35d8b3
2024-02-25T09:32:00.137Z,40,51610,2358,sell,fill,5dc99050-1077-438c-a25e-d4aa13aad6e6
2024-02-25T09:32:00.137Z,39,51610,10000,sell,fill,1257246b-a0b9-44eb-b925-49eced3b0de4
2024-02-25T09:32:00.808Z,38,51589.5,3550,buy,fill,928cbcfb-b3be-45ab-aeee-80fa4e7bf9f3
2024-02-25T09:32:01.480Z,37,51589.5,2089,buy,fill,69053e0e-694c-40af-9daf-d3082c2b9584
2024-02-25T09:32:01.557Z,36,51589,3000,buy,fill,ccd0c224-2d21-441e-b41e-5325fed3d305
2024-02-25T09:38:14.007Z,35,51616.5,900,buy,fill,0237110d-40fa-4e28-9a75-7fa4f7055120
2024-02-25T09:38:14.009Z,34,51616.5,500,buy,fill,501cd1ca-16c7-40b7-bae4-956c8441930b
2024-02-25T09:38:14.009Z,33,51616.5,400,buy,fill,e787758b-2f97-4dbf-a175-244b1a7ce7c5
2024-02-25T09:38:14.009Z,32,51616.5,300,buy,fill,6bada991-4176-4a89-b743-315b40492fd9
2024-02-25T09:38:14.009Z,31,51616.5,200,buy,fill,6027eaea-5a3f-46a8-91b2-6142e7a2b171
2024-02-25T09:38:14.010Z,30,51616.5,700,buy,fill,86caf877-5525-45f1-8cb2-32202c1c3543
2024-02-25T09:38:14.011Z,29,51616.5,450,buy,fill,c1ba3d82-d9ae-42e0-97c1-aa3c34167f26
2024-02-25T09:38:14.011Z,28,51616.5,350,buy,fill,d3f96782-e392-4e01-be1d-38351ab26ed7
2024-02-25T09:38:14.011Z,27,51616.5,200,buy,fill,464b8a35-c15e-47f2-9a4d-fd6fc2a35c11
2024-02-25T09:38:14.013Z,26,51616.5,200,buy,fill,3c18214a-dceb-40a1-9c73-b62306fa419e
2024-02-25T09:38:14.014Z,25,51616.5,700,buy,fill,e8f6c215-d08c-4f16-81a8-8678d684e345
2024-02-25T09:38:14.014Z,24,51616.5,500,buy,fill,f6be6011-a378-4313-948f-2d4e84e55f78
2024-02-25T09:38:17.502Z,23,51630.5,1465,buy,fill,3af4a72b-2cfa-48f3-bf19-720d66d34f1e
2024-02-25T09:38:48.054Z,22,51630.5,1465,buy,fill,385e8351-28e9-4975-8083-b37a71c78dc9
2024-02-25T09:38:56.083Z,21,51635.5,1466,buy,fill,a9c0cbb7-ed6f-42e5-8cf2-684a27749174
2024-02-25T09:39:07.424Z,20,51639.5,1466,buy,fill,c3dbe63c-661b-4b73-9c67-6b14f25641ce
2024-02-25T09:39:22.705Z,19,51640,1466,buy,fill,481777ae-e46b-456d-a3d1-4d6e34430db3
2024-02-25T09:40:15.958Z,18,51642.5,1466,buy,fill,bfd403a6-676e-461e-92c4-c1a8b3d1daa5
2024-02-25T09:45:20.945Z,17,51638,10000,sell,fill,e0e65837-f389-4b84-977c-609da89745b1
2024-02-25T09:51:15.110Z,16,51640,1466,buy,fill,43513a37-b952-4427-8ae7-85e71f991b39
2024-02-25T10:00:21.333Z,15,51642,2198,buy,fill,7b73f577-35ab-48e5-8c16-e870d685004f
2024-02-25T10:00:43.711Z,14,51642,2198,buy,fill,008f22e6-1e92-40c2-a6dd-620420403423
2024-02-25T10:01:02.515Z,13,51645.5,2198,buy,fill,f6259478-5408-45ca-8b70-51bc6f9a3343
2024-02-25T10:01:15.170Z,12,51666.5,2050,buy,fill,3dd25751-f086-4c34-bc3a-45935853845a
2024-02-25T10:01:15.170Z,11,51665.5,3550,buy,fill,e9ea5936-235c-4231-b372-210bb99829d4
2024-02-25T10:01:15.170Z,10,51665,4300,buy,fill,1e11ac74-71b9-4bfa-80e4-4226f0900586
2024-02-25T10:01:15.170Z,9,51657,3550,buy,fill,e62e7eb2-9c3f-498a-91b2-c487f896697f
2024-02-25T10:01:15.170Z,8,51656.5,4300,buy,fill,33ae0f47-6c46-4fac-ba4d-ec256c743ffd
2024-02-25T10:01:15.170Z,7,51656,3000,buy,fill,296aa5dc-41a9-46be-a780-26e545bcf965
2024-02-25T10:01:15.170Z,6,51654,3550,buy,fill,0d73094a-5c14-4a4d-83f3-f25b94172158
2024-02-25T10:01:15.170Z,5,51653.5,4300,buy,fill,df0a3c51-3095-4bb1-afa7-add2f707732c
2024-02-25T10:01:15.170Z,4,51651,4300,buy,fill,edea3413-219f-42a4-88c8-bda5d55b39ae
2024-02-25T10:01:15.170Z,3,51651,3550,buy,fill,aa105d41-88fb-4e46-b32e-c5be6b51b1cb
2024-02-25T10:01:15.170Z,2,51651,3550,buy,fill,c29551a1-77e1-4c3c-981f-f2cb1096bb5c
2024-02-25T10:02:56.584Z,1,51663,1,buy,fill,a3790b38-5173-46f5-aff2-881c035e2b43
